CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,Cluster_Desc
12346.0,108,1,11093.34,3,1,1,311,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12347.0,60,31,247339.54,4,5,4,454,Loyal,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12348.0,74,8,121977.33,4,2,3,423,Others,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12350.0,18,11,126383.26999999999,5,3,3,533,Recent,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12356.0,108,13,199680.12,3,3,4,334,Need Attention,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12359.0,131,3,70424.95999999999,3,1,2,312,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12370.0,190,44,331075.83,2,5,5,255,At Risk,2,"At Risk – 105 müşteri (Ø R=241g, F=32.4, M=310,802)"
12373.0,25,5,96545.95999999999,5,2,3,523,Recent,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12377.0,41,37,277921.19,5,5,5,555,Champions,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12383.0,100,39,326232.56,4,5,5,455,Loyal,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12386.0,157,6,46970.619999999995,3,2,2,322,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12388.0,115,10,73379.9,3,3,3,333,Need Attention,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12393.0,123,13,143085.65,3,3,4,334,Need Attention,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12395.0,165,14,132996.26,2,3,4,234,At Risk,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12402.0,95,6,48343.13,4,2,2,422,Others,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12410.0,11,14,197930.97999999998,5,3,4,534,Recent,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12413.0,132,10,65804.95999999999,3,3,2,332,Need Attention,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12414.0,18,6,51372.39,5,2,2,522,Recent,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12415.0,141,24,194721.43000000002,3,4,4,344,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12417.0,75,15,97591.61,4,3,3,433,Promising,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12421.0,77,6,40904.6,4,2,2,422,Others,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12422.0,103,9,51543.61,3,3,2,332,Need Attention,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12423.0,173,8,54774.4,2,2,2,222,Hibernating,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12427.0,171,3,27619.72,2,1,1,211,Hibernating,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12429.0,263,10,117444.59999999999,1,3,3,133,At Risk,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
12431.0,41,32,200708.53,5,5,4,554,Champions,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
